Departure,Arrival,Vessel Name,Service Land Name,POL,POD
2024-12-27,2025-02-25,HAIAN DELL 005S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-27,2025-03-07,HAIAN DELL 005S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-27,2025-03-11,HAIAN DELL 005S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-27,2025-03-17,HAIAN DELL 005S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-02-11,INCEDA 008S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-02-21,INCEDA 008S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-02-25,INCEDA 008S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-01-21,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-01-28,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-01-31,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-02-17,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-02-24,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-02-27,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-02-28,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-28,2025-03-04,ONE COMMITMENT 067E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-30,2025-02-25,CMA CGM VISBY 5IU88S1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-30,2025-03-07,CMA CGM VISBY 5IU88S1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2024-12-30,2025-03-11,CMA CGM VISBY 5IU88S1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-02,2025-02-08,WAN HAI 512 E111,AP1,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-01-30,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-02-03,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-02-06,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-02-07,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-02-17,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-02-18,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-02-25,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-03-04,YM TOGETHER 017E,PN3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-02-25,HAIAN ROSE 045S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-03-07,HAIAN ROSE 045S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-03-11,HAIAN ROSE 045S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-03,2025-03-17,HAIAN ROSE 045S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-04,2025-02-25,SINAR SANUR 089S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-04,2025-03-07,SINAR SANUR 089S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-04,2025-03-11,SINAR SANUR 089S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-01-30,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-02-04,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-02-06,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-02-25,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-02-24,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-02-27,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-02-28,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-05,2025-03-04,ONE CONTRIBUTION 059E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-06,2025-02-25,INCEDA 009S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-06,2025-03-07,INCEDA 009S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-06,2025-03-11,INCEDA 009S,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-05,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-06,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-08,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-25,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-24,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-27,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-02-28,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-07,2025-03-04,YM MODESTY 072E,PS3,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-02-25,CMA CGM VISBY 5IU8AW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-07,CMA CGM VISBY 5IU8AW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-11,CMA CGM VISBY 5IU8AW1NC,NVS,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
2025-01-10,2025-03-07,HAIAN DELL 006S,VSX,HAI PHONG, VIETNAM  (CY),CHICAGO, IL, UNITED STATES  (CY)
